Card   1: 59 65 20 66 55 92 43 23 98 70 | 99 81 56 30 88 55 57 11 90 45 53 28 33 20 84 54 24 64 74 98 36 77 61 82 69
Card   2: 62 76 53 69 70 72 81  1 67 78 | 62 24 60 72 67 76 25 46 40 26 28 57 69 70 78 79 81  1 11 15 30 63 68 37 53
Card   3: 87 81  7 92 88 66 58 22 13 59 | 42 18 31 11 17 62 46 52 22 48 83 99 93  2 26 28 88  4 56 20 25 43 82 89 44
Card   4: 13 92 15 50 49 10 58 44 84 81 | 69 16  2 58 27 49 67 31 47 53 35 89 75 20 96 44 50 92  3 98 15 81 84 13 10
Card   5: 49 18 23 93 19 52 76 15 86 72 | 18 62 86 49 93 52 43 22 23 35 76 25 79 31 15 10 32 47 72 98 19 71 81 13 39
Card   6: 49 22 40 83 92 30 16 96 80 93 | 30  5 93 66 49 10 83 55 22  6 40 43 80 84 29 74 34 16 39 31 92 56 96 68 65
Card   7: 68 50 47 21  2 34  5 44 70 93 |  5  2 37 83 13 25 82 44 90 34 22 16 14 52 50 68 77 75 70 21 31 64 93 47 88
Card   8: 93 39 80 58 10 50 47 81 20  4 | 30  4 55 36 68 39 90 20 81  7 58 93 13 47 85 10  8 96 11 80 99 91 50 72 51
Card   9: 55 66 20 93 39 53 81 60 33 17 | 67 25 55 24 81 58 66 17 78 60 64 50 39 53 87 56 91 93 77 41 20 84 40 33 22
Card  10: 74 97 78 99 48 33 36 30  3  8 | 72  2 22  8 12 74 50 73 33 99 60  3 30 91 36 41 97 42  9 54 79 17 78 88 48
Card  11: 97 39 21  1 30 81 76 74 31 60 | 97 99 93 74 31 86 76 62 90 63 21 40 81 18 52 39 13 22  1 30  8 45 60 34 80
Card  12: 70 54 10 42 49 22 81 27 60 59 | 96 27 61 93 54 90 62 20 55 65 84 29 73 14 89 70  1 63 68 32 22  3 10 11 18
Card  13: 84  3 12 29 13 94 90 70 57 10 | 75  3 65 70 19 27 13 34 89 57  2 73 91  4 29 92 37 94 60 36 10 51 85  6 71
Card  14: 25 10 50 56 96 33 68 35 72  7 | 90 92 65 48  5 70 28 82 19 11 58 74 27 30 18 39 67 76 37 83 29  9 32 17 80
Card  15: 66 90  2 45  3 63 57 42 61 93 | 67 83 63 65 66 34 62 42 36 29 76 12 40 26 90 41 61 11 98  5 70  1 94 74 51
Card  16: 44 98 35 36 23 76 81  5 72 78 | 98 94 44 46 53 43 93  5  2 38 51 78 33 23 57 26 66 12 62 72 31  9 82 14 13
Card  17: 93 36 58  8 28 57 87 97 88 81 | 27 32 25 58 85 50 75 99 71 37 62 60 40 33 84 54 34 87 10 29 80 23 20  9 91
Card  18: 64 32 84 80 83 31 23 99 81 56 | 76 39 61 86 38 50 94 49 96 31 48 53 17 72 93 64 40 69 99  5 42 79 51 97 56
Card  19: 27 23 17 51 94 96 72 68 43 10 | 69 89 70 51 44  2 64 56 63 26 84 25 19 15 20 83 62 32 34 79 45 98 23 61 58
Card  20: 70 40  1 24 63 54 96 62 34 56 | 65  8 46 27 55 75 34 67 11 61 21 78 83 12 19 13 30 25 23 60 86  7 38 44 92
Card  21: 24 58 77  6 27 92 73 80  7 96 | 84 17 30 12 31 44  5 11 41  2 13 47 78  4 33 90 54 65 37 43  3 15 69  8 59
Card  22: 79 81 85 60 75 16 88 59 24 86 | 79 56 63 44 77 67  1 41 99 74 96 54 42 61  5 78 33 72 55 18 89 80 45 98 26
Card  23: 71 77 83 98 79 55 27 21 51 52 | 90 58 10 92 49  8  1 81 50 23  2 56 44 12 66 94  4 30 39 73 24 40 76 45 48
Card  24: 57 80 11  9  2 58 63 32 40  7 | 57 88 85 21 66 49 43 41 60  9  2 56 11 73 71 18 58 93 91 40 32 26 80  7 63
Card  25: 62 27 80 53 26 18 29 45 20 54 | 98 41 18 68 16  8 53 45 20 62 24 27  2 21 54 91 28 96 49 43 83 29 26 52 80
